"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"DNP";"4.7UF-1206-16V-(+80/-20%)";"1206";"4.7µF ceramic capacitors";"CAP-10300";"4.7uF";
"D1";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D2";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D3";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D4";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D5";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D6";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D7";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D8";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D9";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D10";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D11";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D12";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D13";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D14";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D15";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D16";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D17";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D18";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D19";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D20";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D21";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D22";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D23";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D24";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D25";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D26";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D27";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D28";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D29";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D30";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D31";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D32";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D33";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
"D34";"APA102-2020";"APA102-2020";"APA102-2020";"APA102 Addressable RGB LED";"DIO-13883";"";
