"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"100uF";"CAP_POL7343";"EIA7343";"Capacitor Polarized";"";"";
"C2";"10uF";"CAP_POL1206";"EIA3216";"Capacitor Polarized";"";"";
"C3";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";
"D1";"1N4001";"DIODESMA-TYLERALT1";"SMA-DIODE-TYLERALT1";"Diode";"";"";
"F1";"PTCSMD-W";"PTCSMD-W";"PTC-1206-WIDE";"Resettable Fuse PTC";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"J1";"POWER_JACKOVERPASTE_REDBOARD_0603";"POWER_JACKOVERPASTE_REDBOARD_0603";"POWER_JACK_SMD_OVERPASTE_REDBOARD_0603";"Power Jack";"";"";
"JP1";"M01PTH";"M01PTH";"1X01";"Header 1";"";"";
"JP2";"M01PTH";"M01PTH";"1X01";"Header 1";"";"";
"JP3";"M01PTH";"M01PTH";"1X01";"Header 1";"";"";
"JP4";"M01PTH";"M01PTH";"1X01";"Header 1";"";"";
"JP5";"";"M02PTH";"1X02";"Header 2";"";"";
"JP6";"M01PTH";"M01PTH";"1X01";"Header 1";"";"";
"JP7";"M01PTH";"M01PTH";"1X01";"Header 1";"";"";
"JP8";"M01PTH";"M01PTH";"1X01";"Header 1";"";"";
"JP9";"M01PTH";"M01PTH";"1X01";"Header 1";"";"";
"LED2";"Power";"LED1206";"LED-1206";"";"";"";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";
"R1";"240";"240OHM1/10W1%(0603)";"0603-RES";"RES-07849";"RES-07849";"240";
"R2";"105";"105OHM-1/10W-1%(0603)";"0603-RES";"RES-10751";"RES-10751";"105";
"R3";"287";"287OHM-1/10W-1%(0603)";"0603-RES";"RES-10752";"RES-10752";"287";
"R4";"240";"240OHM1/10W1%(0603)";"0603-RES";"RES-07849";"RES-07849";"240";
"S1";"On/Off";"AYZ0202";"AYZ0202";"SPDT Slide Switch";"";"";
"S2";"Voltage";"SWITCH-SPSTSMD";"AYZ0202";"SPST Switch";"";"";
"U$1";"LOGO-SFESK";"LOGO-SFESK";"SFE-LOGO-FLAME";"Spark Fun Electronics PCB Logo";"";"";
"U$2";"LOGO-SFENEW";"LOGO-SFENEW";"SFE-NEW-WEBLOGO";"Spark Fun Electronics PCB Logo";"";"";
"U$3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"U$4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"U1";"V_REG_317SMD";"V_REG_317SMD";"SOT223";"Voltage Regulator";"";"";
