"Part";"Value";"Device";"Package";"Description";"BOM";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"TP_SIGNAL_NAME";
"ADC1";"";"PINHD-1X1CB";"1X01-CLEANBIG";"Pin header 1x1 for 0.1" spacing";"";"";"";"";"";"";
"C1";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";
"C5";"10pF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";
"C6";"33pF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";
"C7";"100uF";"C-USC1210";"C1210";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C9";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";
"C11";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";
"C14";"33pF";"CAP_4PACK1206";"RESPACK_4X0603";"";"";"";"";"";"";"";
"C15";"10pF";"CAP_4PACK1206";"RESPACK_4X0603";"";"";"";"";"";"";"";
"C16";"33pF";"CAP_4PACK1206";"RESPACK_4X0603";"";"";"";"";"";"";"";
"C17";"10pF";"CAP_4PACK1206";"RESPACK_4X0603";"";"";"";"";"";"";"";
"CHRG";"ORANGE";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";"";"";"";"";
"CN2";"JSTPH";"JST_2PIN";"JSTPH2";"JST 2-Pin Right-Angle Connector";"";"";"";"";"";"";
"D1";"MMSZ5231BT1G";"DIODE-ZENERSOD123";"SOD-123";"Zener Diode";"";"";"";"";"";"";
"D2";"SMF05C";"TVSARRAY_5LANE";"SOT363";"Voltage Transient Suppressor Array";"";"";"";"";"";"";
"D3";"1N4148";"DIODESOD-323";"SOD-323";"Diode";"";"";"";"";"";"";
"D4";"1N4148";"DIODESOD-323";"SOD-323";"Diode";"";"";"";"";"";"";
"D5";"1N4148";"DIODESOD-323";"SOD-323";"Diode";"";"";"";"";"";"";
"D6";"1N4148";"DIODESOD-323";"SOD-323";"Diode";"";"";"";"";"";"";
"D7";"1N4148";"DIODESOD-323";"SOD-323";"Diode";"";"";"";"";"";"";
"DONE";"GREEN";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";"";"";"";"";
"FID1";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";"";
"FID2";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";"";
"FID3";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";"";
"FID4";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";"";
"FID5";"FIDUCIAL""";"FIDUCIAL""";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";"";"";"";"";"";
"IC1";"74VHCT125PW";"74ABT125PW";"TSSOP14";"Quad bus BUFFER, 3-state";"";"";"";"";"";"";
"JP3";"BUZZ";"HEADER-1X2ROUND";"1X02_ROUND";"PIN HEADER";"";"";"";"";"";"";
"JP10";"";"HEADER-1X16ROUND";"1X16_ROUND";"PIN HEADER";"";"";"";"";"";"";
"NETSTAT";"RED";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";"";"";"";"";
"PWM";"";"PINHD-1X1CB";"1X01-CLEANBIG";"Pin header 1x1 for 0.1" spacing";"";"";"";"";"";"";
"PWRSTAT";"BLUE";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";"";"";"";"";
"Q1";"DTC143ZUAT106";"MUN2211T1-NPN_DRIVER-SC59-BEC";"SC59-BEC";"NPN Bias Resistor Transistor";"";"";"";"";"";"";
"R1";"470";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";"";"";"";"";"";
"R2";"1K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";"";"";"";"";"";
"R3";"2K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";"";"";"";"";"";
"R4";"1K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";"";"";"";"";"";
"R5";"1K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";"";"";"";"";"";
"R6";"10K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";"";"";"";"";"";
"SW1";"KMR2";"SWITCH_TACT_SMT4.6X2.8";"BTN_KMR2_4.6X2.8";"SMT Tact Switches";"";"";"";"";"";"";
"TP1";"TPTP11R";"TPTP11R";"TP11R";"Test pad";"";"";"";"";"";"";
"U$33";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";"";"";"";"";"";
"U$34";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";"";"";"";"";"";
"U2";"MCP73831T-2ACI/OT";"MCP73831/2";"SOT23-5";"MCP73831/2 LIPO Charger";"";"";"";"";"";"";
"U3";"SIM808";"GSM_SIM808_LITERAL";"SIM900_SMT";"SIM808 GSM Module";"";"";"";"";"";"";
"X1";"uFL";"SMACONNECTOR_EDGE_UFL";"SMA_EDGELAUNCH_UFL";"SMA Connector";"";"";"";"";"";"";
"X2";"MicroB";"USBMICRO_20329";"4UCONN_20329";"USB Connectors";"";"";"";"";"";"";
"X3";"uFL";"ANTENNA_U.FL";"U.FL";"U.FL Antenna Connector";"";"";"";"";"";"";
