"Part";"Value";"Device";"Package";"Description";"BOM";
"C1";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C2";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";
"C3";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C4";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C5";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C6";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"Ceramic Capacitors";"";
"CONN1";"STEMMA_I2C_QT";"STEMMA_I2C_QT";"JST_SH4";"";"";
"CONN2";"STEMMA_I2C_QT";"STEMMA_I2C_QT";"JST_SH4";"";"";
"FID1";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"FID2";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"FID3";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"FID4";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"LED1";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED2";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED3";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED4";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED5";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED6";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED7";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED8";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED9";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED10";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED11";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED12";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED13";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED14";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED15";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED16";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED17";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED18";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED19";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED20";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED21";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED22";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED23";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED24";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED25";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED26";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED27";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED28";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED29";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED30";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED31";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED32";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
"LED33";"RGBLED_CA_2121";"RGBLED_CA_2121";"RGBLED_2121";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";
