"Part";"Value";"Device";"Package";"Description";"BOM";
"C1";"22uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C2";"22uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"C3";"22uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";
"FID1";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"EXCLUDE";
"IC1";"VREG_BUCK_5PIN_AP3429/A";"VREG_BUCK_5PIN_AP3429/A";"SOT23-5";"";"";
"JP1";"";"HEADER-1X4ROUND";"1X04_ROUND";"PIN HEADER";"";
"L1";"SDER041H-2R2MS";"INDUCTORNRH2412T";"INDUCTOR_TAIYOYUDEN_NRH2412T";"Inductors";"";
"R1";"100K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"R2";"450K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"R3";"100K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";
"U$9";"MOUNTINGHOLE2.5";"MOUNTINGHOLE2.5";"MOUNTINGHOLE_2.5_PLATED";"Mounting Hole";"EXCLUDE";
